**Date/Time**,**Event**,**Description**
2020-09-29 07:15:27 PDT,EXIF Metadata,EXIT creation time for image willy&maudebvi.jpg; taken on an Apple iPhoneXs
2020-09-29 23:13:17 PDT,EXIF Metadata,EXIT creation time for image beach@nite.jpg; taken on an Apple iPhoneXs
2020-11-07 16:20:38 PST,Web Bookmarks,http://go.microsoft.com/fwlink/p/?LinkId=255142 bookmarked by `yeatsw`
2020-11-07 16:25:33 PST,Program Run,Thunderbird 78.8.0 Setup
2020-11-07 16:35:52 PST,Program Run,Tor Browser 10.0.12 Installer
2020-11-07 17:02:00 PST,Program Run,Thunderbird launched by `yeatsw` for the first time
2020-11-07 23:49:27 PST,Shellbag,`C:\Windows\System32\winevt\Logs` folder last accessed by `WillyG`
2020-11-07 23:59:13 PST,Shellbag,Control Panel Network and Sharing Center accessed by `WillyB`
2020-11-08 00:04:45 PST,Shellbag,Control Panel Windows Firewall accessed by `WillyB`
2020-11-08 00:36:32 PST,Shellbag,`C:\Program Files\Mozilla Thunderbird` folder first accessed by `yeatsw`
2020-11-08 06:16:15 PST,Email,"`yeatsw@byzantimus.com` to `gonne@byzantimus.com`, subject: ok?"
2020-11-08 07:18:41 PST,Email,"`gonne@` to `yeatsw@`, subject: Re: ok?"
2020-11-08 17:17:18 PST,Email,"`yeatsw@` to `gonne@`, subject: Re: ok?"
2020-11-11 20:50:23 PST,Email,"`gonne@` to `yeatsw@`, subject: Re: ok?"
2020-11-16 15:37:06 PST,Recent Documents,`C:\Users\yeatsw\Desktop\Canada` opened by `yeatsw
2020-11-16 15:43:04 PST,Email,"`gonne@` to `yeatsw@`, subject: Guess what I got today?"
2020-11-16 15:58:00 PST,Program Run,Tor Browser first launched by `yeatsw`
2020-11-16 23:37:32 PST,Shellbag,`Desktop\Canada` folder first accessed by `yeatsw`
2020-11-19 00:09:02 PST,Web Bookmarks,http://go.microsoft.com/fwlink/p/?LinkId=255142 bookmarked by `WillyB`
2020-11-23 14:25:29 PST,Recent Documents,`D:\` opened by `yeatsw`
2020-11-23 14:25:29 PST,Recent Documents,`D:\balcony1.jpg` opened by `yeatsw`
2020-11-23 14:32:32 PST,Recent Documents,`C:\Users\yeatsw\Desktop\mandw.jpg` opened by `yeatsw`
2020-11-23 14:41:59 PST,Recent Documents,`C:\Users\yeatsw\Desktop\sunset.jpg` opened by `yeatsw`
2020-11-23 14:42:05 PST,Recent Documents,`C:\Users\yeatsw\Desktop\mandw1.jpg` opened by `yeatsw`
2020-11-23 14:45:26 PST,Email,"`gonne@` to `yeatsw@`, subject: Guess what I got in the mail today?"
2020-11-23 14:58:38 PST,Email,"`yeatsw@` to `gonne@`, subject: Re: Guess what I got in the mail today?"
2020-11-23 15:03:42 PST,Email,"`gonne@` to `yeatsw@`, subject: Re: Guess what I got in the mail today?"
2020-11-23 15:24:55 PST,Email,"`yeatsw@` to `gonne@`, subject: Re: Guess what I got in the mail today?"
2020-11-23 22:23:52 PST,Shellbag,`C:\Program Files\Mozilla Thunderbird` folder last accessed by `yeatsw`
2020-12-05 03:46:35 PST,Email,"`gonne@` to `yeatsw@`, subject: leaving now"
2020-12-05 05:22:39 PST,Email,"`yeatsw@` to `gonne@`, subject: Re: leaving now"
2020-12-07 20:15:35 PST,Email,"`yeatsw@` to `gonne@`, subject: We're actually doing this"
2020-12-07 20:48:34 PST,Email,"`gonne@` to `yeatsw@`, subject: Re: We're actually doing this"
2020-12-07 22:01:51 PST,Web History,`https://byzantiumus.com:8443/Samba/Composite/UserTemplate`
2020-12-07 22:06:17 PST,Web History,`https://byzantiumus.com:8443/Samba/Tree/Manage`
2020-12-07 22:06:17 PST,Web History,`https://byzantiumus.com:8443/Samba/Tree/Manage`
2020-12-07 22:06:17 PST,Web History,`https://byzantiumus.com:8443/Samba/Tree/Manage`
2020-12-07 22:36:12 PST,USB Device,SanDisk Ultra (SN: 4C531001330607117133) last seen
2020-12-07 22:42:48 PST,Recent Documents,`C:\Users\yeatsw\Desktop\balcony.jpg` opened by `yeatsw`
2020-12-07 22:44:43 PST,Email,"`gonne@` to `yeatsw@`, subject: No accounting for taste"
2020-12-07 22:48:33 PST,Web Bookmarks,http://go.microsoft.com/fwlink/p/?LinkId=255142 bookmarked by `john.mccrae`
2020-12-07 22:52:49 PST,Web Bookmarks,http://go.microsoft.com/fwlink/p/?LinkId=255142 bookmarked by `Ted.Roethke`
2020-12-08 06:42:48 PST,Recent Documents,`Desktop\balcony.jpg` last opened by `yeatsw`
2021-02-25 16:23:00 PST,Program Run,OneDrive Setup launched by `WillyB`
2021-03-07 17:06:10 PST,USB Device,Alcor Micro Flash Drive (SN: 38A261A4) last seen
2021-03-07 17:16:21 PST,Program Run,Tor Browser last launched by `yeatsw`
2021-03-07 17:17:24 PST,Email,"`gonne@` to `yeatsw@`, subject: Go"
2021-03-07 17:21:23 PST,Web History,`https://byzantiumus.com:8443/`
2021-03-07 17:21:23 PST,Web History,`https://byzantiumus.com:8443/`
2021-03-07 17:21:23 PST,Web History,`https://byzantiumus.com:8443/`
2021-03-07 17:21:23 PST,Web History,`https://byzantiumus.com:8443/`
2021-03-07 17:21:23 PST,Web History,`https://byzantiumus.com:8443/`
2021-03-07 17:21:23 PST,Web History,`https://byzantiumus.com:8443/`
2021-03-07 17:21:23 PST,Web History,`https://byzantiumus.com:8443/Login/Index`
2021-03-07 17:21:23 PST,Web History,`https://byzantiumus.com:8443/Login/Index`
2021-03-07 17:21:23 PST,Web History,`https://byzantiumus.com:8443/Login/Index`
2021-03-07 17:21:23 PST,Web History,`https://byzantiumus.com:8443/Login/Index`
2021-03-07 17:21:23 PST,Web History,`https://byzantiumus.com:8443/Login/Index`
2021-03-07 17:21:23 PST,Web History,`https://byzantiumus.com:8443/Login/Index`
2021-03-07 17:21:23 PST,Web History,`https://byzantiumus.com:8443/Login/Index`
2021-03-07 17:21:35 PST,Web History,`https://byzantiumus.com:8443/SysInfo/View/Halt`
2021-03-07 17:21:35 PST,Web History,`https://byzantiumus.com:8443/SysInfo/View/Halt`
2021-03-08 01:16:42 PST,Program Run,`D:\Thunderbird` last launched by `yeatsw`
2021-03-24 20:11:24 PDT,Metadata,`Desktop\creditsuisseag.xlsx` created by `yeatsw`
